1,3
1,130
1,94
1,93
2,27
2,96
2,130
2,95
3,4
3,26
4,107
4,26
4,133
5,131
5,6
5,107
6,7
6,24
6,134
6,26
6,107
7,132
7,10
7,133
8,9
8,132
8,29
8,31
9,108
9,29
9,31
10,11
11,12
11,13
12,108
12,13
13,141
14,141
14,143
14,17
14,142
15,141
15,143
17,142
17,138
17,143
18,142
18,138
18,19
18,23
18,24
19,138
19,137
19,135
20,135
20,136
20,137
20,99
20,75
20,68
21,23
21,68
21,76
22,23
23,24
23,25
23,26
23,76
23,136
24,133
24,134
24,25
25,26
25,134
26,133
27,97
28,30
28,77
28,29
29,77
29,132
29,31
30,31
30,77
30,32
30,129
31,32
32,69
33,112
33,69
34,105
34,119
35,36
35,104
35,105
35,106
36,104
36,106
36,103
36,141
37,72
37,38
37,140
37,103
39,40
39,46
39,123
39,122
39,103
40,121
40,124
40,123
41,123
42,43
42,44
42,123
43,44
43,125
44,122
44,125
45,122
45,125
46,121
46,122
46,103
47,73
47,121
47,48
48,73
48,121
48,124
49,110
49,109
50,109
50,126
51,113
52,113
52,126
52,128
53,126
53,127
53,128
54,55
54,127
54,71
54,57
55,89
55,127
55,60
57,71
59,62
59,89
60,61
60,62
61,115
61,62
62,115
65,115
66,114
67,74
67,102
67,100
67,137
68,75
73,121
73,119
74,143
74,139
74,137
75,99
76,93
78,79
78,94
79,85
80,98
80,100
81,99
89,127
89,90
90,128
90,116
91,112
93,94
94,95
96,131
96,132
96,97
97,129
98,100
98,102
99,100
99,137
101,102
101,125
102,139
103,104
103,122
104,105
104,121
105,108
105,120
106,108
106,140
107,130
108,112
108,132
109,118
109,124
109,113
110,111
110,118
111,113
111,117
112,117
113,114
114,116
115,116
117,120
118,119
118,120
122,123
126,128
127,128
130,131
131,132
133,134
134,135
135,136
135,137
137,138
139,140
141,142
